,user_id,order_cnt,order_amt,order_month,last_order,order_mcnts,order_mamt,order_pamt,RFM_tag,RFM_level,order_cnt_prd,order_amt_prd,last_order_prd,order_mcnts_prd,order_mamt_prd,order_pamt_prd,RFM_tag_prd,RFM_level_prd
433,570065759390151,9,422,2,64,4.5,211.0,46.888888888888886,重要价值客户,8,9.0,422.0,64.0,4.5,211.0,46.888888888888886,重要保持客户,7.0
434,570054177660114,3,58,1,104,3.0,58.0,19.333333333333332,一般保持客户,2,3.0,58.0,104.0,3.0,58.0,19.333333333333332,一般保持客户,2.0
435,570065876410152,25,689,2,85,12.5,344.5,27.56,重要价值客户,8,22.0,595.0,92.0,22.0,595.0,27.045454545454547,重要保持客户,7.0
436,570070034130103,3,78,1,104,3.0,78.0,26.0,一般保持客户,2,,,,,,,,
437,570066603130156,4,321,1,104,4.0,321.0,80.25,重要保持客户,7,,,,,,,,
438,570060237040130,4,400,1,104,4.0,400.0,100.0,重要保持客户,7,4.0,400.0,104.0,4.0,400.0,100.0,重要保持客户,7.0
439,570069544700151,4,90,1,104,4.0,90.0,22.5,一般保持客户,2,,,,,,,,
440,570059117370104,8,232,2,58,4.0,116.0,29.0,重要价值客户,8,8.0,232.0,58.0,4.0,116.0,29.0,重要价值客户,8.0
441,570060674780100,6,151,1,104,6.0,151.0,25.166666666666668,一般保持客户,2,,,,,,,,
442,570065092560137,5,277,1,104,5.0,277.0,55.4,重要保持客户,7,,,,,,,,
443,570070091210149,1,106,1,104,1.0,106.0,106.0,一般挽留客户,1,,,,,,,,
444,570069547640119,4,400,1,102,4.0,400.0,100.0,重要保持客户,7,4.0,400.0,102.0,4.0,400.0,100.0,重要保持客户,7.0
445,570069255190110,13,0,1,104,13.0,0.0,0.0,一般保持客户,2,13.0,0.0,104.0,13.0,0.0,0.0,一般保持客户,2.0
446,570058867260110,5,290,3,56,1.6666666666666667,96.66666666666667,58.0,重要价值客户,8,5.0,290.0,56.0,1.6666666666666667,96.66666666666667,58.0,重要价值客户,8.0
447,570062560920100,9,1424,2,68,4.5,712.0,158.22222222222223,重要价值客户,8,9.0,1424.0,68.0,4.5,712.0,158.22222222222223,重要保持客户,7.0
448,570063053590116,4,98,1,103,4.0,98.0,24.5,一般保持客户,2,4.0,98.0,103.0,4.0,98.0,24.5,一般保持客户,2.0
449,570066119460101,4,71,1,103,4.0,71.0,17.75,一般保持客户,2,4.0,71.0,103.0,4.0,71.0,17.75,一般保持客户,2.0
450,570064238230157,2,55,1,103,2.0,55.0,27.5,一般挽留客户,1,,,,,,,,
451,570061405540127,4,272,2,40,2.0,136.0,68.0,重要价值客户,8,4.0,272.0,40.0,2.0,136.0,68.0,重要价值客户,8.0
452,570070192130154,7,511,1,103,7.0,511.0,73.0,重要保持客户,7,3.0,233.0,103.0,3.0,233.0,77.66666666666667,重要保持客户,7.0
453,570067212040130,1,48,1,103,1.0,48.0,48.0,一般挽留客户,1,,,,,,,,
454,570061581810163,6,208,1,103,6.0,208.0,34.666666666666664,重要保持客户,7,,,,,,,,
455,570067045140161,11,1135,2,87,5.5,567.5,103.18181818181819,重要价值客户,8,,,,,,,,
456,570057473300149,1,20,1,103,1.0,20.0,20.0,一般挽留客户,1,1.0,20.0,103.0,1.0,20.0,20.0,一般挽留客户,1.0
457,570070265780159,1,58,1,103,1.0,58.0,58.0,一般挽留客户,1,,,,,,,,
